alpha,beta,gamma,rho_norm,amp_baseline,amp_full
0.0,0.1,0.35,3.5,1.0,2.1925
0.0,0.1,0.35,4.0,1.0,2.35
0.0,0.1,0.35,4.5,1.0,2.5075000000000003
0.0,0.1,0.35,5.0,1.0,2.665
0.0,0.1,0.4,0.5,1.0,1.27
0.0,0.1,0.4,1.0,1.0,1.4500000000000002
0.0,0.1,0.4,1.5,1.0,1.6300000000000003
0.0,0.1,0.4,2.0,1.0,1.81
0.0,0.1,0.4,2.5,1.0,1.9900000000000002
0.0,0.1,0.4,3.0,1.0,2.1700000000000004
0.0,0.1,0.4,3.5,1.0,2.3500000000000005
0.0,0.1,0.4,4.0,1.0,2.5300000000000002
0.0,0.1,0.4,4.5,1.0,2.71
0.0,0.1,0.4,5.0,1.0,2.89
0.0,0.1,0.45,0.5,1.0,1.2925
0.0,0.1,0.45,1.0,1.0,1.495
0.0,0.1,0.45,1.5,1.0,1.6975000000000002
0.0,0.1,0.45,2.0,1.0,1.9000000000000001
0.0,0.1,0.45,2.5,1.0,2.1025
0.0,0.1,0.45,3.0,1.0,2.305
0.0,0.1,0.45,3.5,1.0,2.5075000000000003
0.0,0.1,0.45,4.0,1.0,2.71
0.0,0.1,0.45,4.5,1.0,2.9125
0.0,0.1,0.45,5.0,1.0,3.115
0.0,0.1,0.5,0.5,1.0,1.3150000000000002
0.0,0.1,0.5,1.0,1.0,1.54
0.0,0.1,0.5,1.5,1.0,1.7650000000000001
0.0,0.1,0.5,2.0,1.0,1.9900000000000002
0.0,0.1,0.5,2.5,1.0,2.215
0.0,0.1,0.5,3.0,1.0,2.4400000000000004
0.0,0.1,0.5,3.5,1.0,2.665
0.0,0.1,0.5,4.0,1.0,2.89
0.0,0.1,0.5,4.5,1.0,3.115
0.0,0.1,0.5,5.0,1.0,3.34
0.0,0.2,0.0,0.5,1.0,1.18
0.0,0.2,0.0,1.0,1.0,1.18
0.0,0.2,0.0,1.5,1.0,1.18
0.0,0.2,0.0,2.0,1.0,1.18
0.0,0.2,0.0,2.5,1.0,1.18
0.0,0.2,0.0,3.0,1.0,1.18
0.0,0.2,0.0,3.5,1.0,1.18
0.0,0.2,0.0,4.0,1.0,1.18
0.0,0.2,0.0,4.5,1.0,1.18
0.0,0.2,0.0,5.0,1.0,1.18
0.0,0.2,0.05,0.5,1.0,1.2025
0.0,0.2,0.05,1.0,1.0,1.2249999999999999
0.0,0.2,0.05,1.5,1.0,1.2475
0.0,0.2,0.05,2.0,1.0,1.27
0.0,0.2,0.05,2.5,1.0,1.2925
0.0,0.2,0.05,3.0,1.0,1.315
0.0,0.2,0.05,3.5,1.0,1.3375
0.0,0.2,0.05,4.0,1.0,1.3599999999999999
0.0,0.2,0.05,4.5,1.0,1.3824999999999998
0.0,0.2,0.05,5.0,1.0,1.405
0.0,0.2,0.1,0.5,1.0,1.2249999999999999
0.0,0.2,0.1,1.0,1.0,1.27
0.0,0.2,0.1,1.5,1.0,1.315
0.0,0.2,0.1,2.0,1.0,1.3599999999999999
0.0,0.2,0.1,2.5,1.0,1.405
0.0,0.2,0.1,3.0,1.0,1.45
0.0,0.2,0.1,3.5,1.0,1.495
0.0,0.2,0.1,4.0,1.0,1.54
0.0,0.2,0.1,4.5,1.0,1.585
0.0,0.2,0.1,5.0,1.0,1.63
0.0,0.2,0.15,0.5,1.0,1.2475
0.0,0.2,0.15,1.0,1.0,1.315
0.0,0.2,0.15,1.5,1.0,1.3824999999999998
0.0,0.2,0.15,2.0,1.0,1.45
0.0,0.2,0.15,2.5,1.0,1.5175
0.0,0.2,0.15,3.0,1.0,1.585
0.0,0.2,0.15,3.5,1.0,1.6524999999999999
0.0,0.2,0.15,4.0,1.0,1.72
0.0,0.2,0.15,4.5,1.0,1.7874999999999999
0.0,0.2,0.15,5.0,1.0,1.855
0.0,0.2,0.2,0.5,1.0,1.27
0.0,0.2,0.2,1.0,1.0,1.3599999999999999
0.0,0.2,0.2,1.5,1.0,1.45
0.0,0.2,0.2,2.0,1.0,1.54
0.0,0.2,0.2,2.5,1.0,1.63
0.0,0.2,0.2,3.0,1.0,1.7200000000000002
0.0,0.2,0.2,3.5,1.0,1.81
0.0,0.2,0.2,4.0,1.0,1.9
0.0,0.2,0.2,4.5,1.0,1.99
0.0,0.2,0.2,5.0,1.0,2.08
0.0,0.2,0.25,0.5,1.0,1.2925
0.0,0.2,0.25,1.0,1.0,1.405
