sigma,purity,seed,pure_median,mix_median,delta_median,mix_nri_high,fld_median,fld_nri_low,margin,separated
15.0,0.7,26,0.5828675952112425,0.7500404385655599,0.16717284335431737,0.7873868583477627,0.8259795787554679,0.7893350815950865,0.075939140189908,True
15.0,0.7,27,0.599997333407134,0.7585755952939,0.15857826188676594,0.8032260745304971,0.8415018181899494,0.8022247590420323,0.08292622289604945,False
15.0,0.7,28,0.5752028540037464,0.7426763537044719,0.16747349970072556,0.7777469688854773,0.8424936422817035,0.8040041691642723,0.0998172885772316,True
15.0,0.7,29,0.6073429605560153,0.7701542526442791,0.16281129208826373,0.81456658926699,0.8328797906899399,0.7956984278613173,0.06272553804566083,False
15.0,0.7,30,0.5838298084021976,0.7263986149074619,0.14256880650526438,0.7656414865581979,0.8452908477017375,0.8130973859736139,0.11889223279427552,True
15.0,0.7,31,0.5553363692800842,0.7607375930364181,0.20540122375633385,0.8034005049570337,0.8395952138503573,0.80521545852723,0.07885762081393921,True
15.0,0.7,32,0.5502144628866761,0.7214850160204977,0.17127055313382167,0.755262351961327,0.8457076541994046,0.8145742771196994,0.12422263817890689,True
15.0,0.7,33,0.5737509139498278,0.7512527790912307,0.17750186514140287,0.7954672352992344,0.8453689227134519,0.8059259938050619,0.0941161436222212,True
15.0,0.7,34,0.5559270512171368,0.7419705480591028,0.18604349684196597,0.7851960585420306,0.8406241160446074,0.8122253222172663,0.09865356798550462,True
15.0,0.7,35,0.5666584152274825,0.7332958106029657,0.16663739537548317,0.771494582917341,0.8034260771875854,0.7665173338670318,0.07013026658461974,False
15.0,0.7,36,0.5512275023578276,0.7535771333487223,0.20234963099089476,0.7851099799669391,0.8459132502448311,0.8157890950838999,0.09233611689610877,True
15.0,0.7,37,0.5959735609163582,0.7461387886046795,0.1501652276883213,0.7830148849822366,0.8504335531932113,0.8216024843935346,0.10429476458853182,True
15.0,0.7,38,0.5880705470689936,0.7583542505557017,0.17028370348670807,0.800389632918716,0.8231982884754194,0.7849872505861593,0.06484403791971771,False
15.0,0.7,39,0.5368258888351016,0.7004215754290405,0.16359568659393886,0.735947224895438,0.8308636252325953,0.7984077823867385,0.13044204980355478,True
15.0,0.7,40,0.6084868557530629,0.7538044703019846,0.14531761454892167,0.7920622922519706,0.860012133071217,0.8224072466311049,0.10620766276923244,True
15.0,0.7,41,0.574790068334992,0.7335171618141467,0.1587270934791547,0.7768992653610204,0.811587656830576,0.7730183423030795,0.07807049501642926,False
15.0,0.7,42,0.5998604091596061,0.7555752311899887,0.15571482203038256,0.799849472472906,0.8122760618512066,0.7839630159403285,0.056700830661217894,False
15.0,0.7,43,0.5523020462210593,0.7277508909988388,0.17544884477777956,0.7686109040451242,0.8292091864502,0.7906900134525829,0.1014582954513612,True
15.0,0.7,44,0.579741699908197,0.775982941422082,0.196241241513885,0.8127236822461175,0.8466275364667438,0.8069565471010995,0.0706445950446618,False
15.0,0.7,45,0.5733372747786005,0.7451281117782127,0.17179083699961217,0.7846633248037355,0.8505660335145595,0.8133930312149645,0.1054379217363468,True
15.0,0.7,46,0.5786914668091335,0.7358092513467722,0.1571177845376387,0.786489177932753,0.8163396218391694,0.7728092291668696,0.0805303704923972,False
15.0,0.7,47,0.569935460369887,0.7657054531037117,0.19576999273382478,0.805514153560505,0.8440874509779953,0.8111452061768825,0.07838199787428357,True
15.0,0.7,48,0.6047631599641425,0.7416827072646552,0.1369195473005127,0.7787685469301967,0.8333250720585726,0.8012860644477053,0.09164236479391741,True
15.0,0.7,49,0.5731916687683103,0.7565432989867111,0.18335163021840084,0.789887211607259,0.83819499106063,0.8043900019241017,0.08165169207391887,True
