sigma,sigma_plx_mas,sigma_pm_mas_yr,seed,sig_clean_median,sig_noisy_median,sig_nri_high,delta_sig_ratio,fld_clean_median,fld_noisy_median,fld_nri_low,delta_fld_ratio,margin,separated
1.5,0.1,0.2,123,0.2058891717358159,0.2082202873158783,0.21843300387441508,0.0023311155800624095,0.8568345704954752,0.8559077391026841,0.8208442143478144,-0.0009268313927910388,0.6476874517868059,True
1.5,0.1,0.2,999,0.19835199653526514,0.19720270159055125,0.2060236211880061,-0.0011492949447138856,0.8325816920054112,0.8333735252444134,0.800186527212415,0.0007918332390022265,0.6361708236538621,True
1.5,0.1,1.0,42,0.20831685512507525,0.21409750031587624,0.2234363599928268,0.005780645190800987,0.8135025395236064,0.8149295297391654,0.7803996399878182,0.001426990215559032,0.6008320294232892,True
1.5,0.1,1.0,123,0.2058891717358159,0.2116566790509328,0.22224070943029695,0.00576750731511691,0.8568345704954752,0.8513393807136307,0.8153727951337855,-0.0054951897818444895,0.6396827016626979,True
1.5,0.1,1.0,999,0.19835199653526514,0.19953384639370653,0.2076607068061262,0.0011818498584413861,0.8325816920054112,0.8367897325803275,0.8027966416401682,0.004208040574916305,0.637255886186621,True
1.5,0.3,0.05,42,0.20831685512507525,0.20767246358136346,0.21672739772896193,-0.000644391543711792,0.8135025395236064,0.8128009464854591,0.7804712669211621,-0.000701593038147319,0.6051284829040956,True
1.5,0.3,0.05,123,0.2058891717358159,0.2065520896499768,0.2164678770265258,0.0006629179141608987,0.8568345704954752,0.855811520348803,0.822923804391225,-0.0010230501466721442,0.6492594306988262,True
1.5,0.3,0.05,999,0.19835199653526514,0.19886759080169147,0.20859270156428417,0.0005155942664263335,0.8325816920054112,0.8316342329261062,0.797238632953949,-0.0009474590793050464,0.6327666421244147,True
1.5,0.3,0.2,42,0.20831685512507525,0.20746858219015646,0.21648898736160033,-0.0008482729349187923,0.8135025395236064,0.8133782740229301,0.7812431766726318,-0.000124265500676346,0.6059096918327735,True
1.5,0.3,0.2,123,0.2058891717358159,0.20755487055696847,0.21771021663760787,0.0016656988211525836,0.8568345704954752,0.8551641990905614,0.8228953403306516,-0.001670371404913773,0.6476093285335929,True
1.5,0.3,0.2,999,0.19835199653526514,0.19755880271368542,0.20691291573765408,-0.0007931938215797185,0.8325816920054112,0.8334920642006349,0.799610931417441,0.0009103721952237187,0.6359332614869495,True
1.5,0.3,1.0,42,0.20831685512507525,0.21362479606625137,0.22223973460955612,0.00530794094117612,0.8135025395236064,0.8158049091988357,0.7792805399367376,0.002302369675229343,0.6021801131325843,True
1.5,0.3,1.0,123,0.2058891717358159,0.21098323021280985,0.2212268178029566,0.005094058476993957,0.8568345704954752,0.8514457573860452,0.8176806941695728,-0.005388813109429957,0.6404625271732354,True
