null_error,k_predict,k_shuffle,noise_fraction,seed
18.212345311986986,30,50,0.1,42
16.078795220271054,30,50,0.1,42
16.75937674097569,30,50,0.1,42
16.599641906635604,30,50,0.1,42
15.638089985389458,30,50,0.1,42
17.3697419174039,30,50,0.1,42
15.768563139159511,30,50,0.1,42
16.16886313688604,30,50,0.1,42
17.353324319925605,30,50,0.1,42
16.455302897880685,30,50,0.1,42
17.34405532850045,30,50,0.1,42
16.347530542286496,30,50,0.1,42
17.18891879674738,30,50,0.1,42
16.16661734157489,30,50,0.1,42
17.770934859787026,30,50,0.1,42
17.16140943263087,30,50,0.1,42
14.879906781484772,30,50,0.1,42
16.91388276593914,30,50,0.1,42
15.014011326777512,30,50,0.1,42
16.970711163644005,30,50,0.1,42
16.45109626795763,30,50,0.1,42
16.548084672802332,30,50,0.1,42
16.633033463337604,30,50,0.1,42
16.340087789296238,30,50,0.1,42
14.808663579393986,30,50,0.1,42
16.13656767425774,30,50,0.1,42
18.70735690729829,30,50,0.1,42
17.491020401390585,30,50,0.1,42
17.543409613535488,30,50,0.1,42
17.590432261785786,30,50,0.1,42
15.381505308650517,30,50,0.1,42
16.894886165783518,30,50,0.1,42
16.297249300570137,30,50,0.1,42
18.0319152060432,30,50,0.1,42
16.488416177307585,30,50,0.1,42
15.94600924493361,30,50,0.1,42
17.108134367459243,30,50,0.1,42
17.54015428028775,30,50,0.1,42
17.207640031184873,30,50,0.1,42
17.45749252155708,30,50,0.1,42
17.735046862691778,30,50,0.1,42
17.72534506210785,30,50,0.1,42
16.312770767103707,30,50,0.1,42
17.472941045170437,30,50,0.1,42
17.66041421305402,30,50,0.1,42
16.67124302846678,30,50,0.1,42
17.937984903455664,30,50,0.1,42
16.79438220286598,30,50,0.1,42
17.855857036651905,30,50,0.1,42
17.036104812680364,30,50,0.1,42
17.185216188896803,30,50,0.1,42
18.024981313376855,30,50,0.1,42
15.787679313080215,30,50,0.1,42
16.8229980546947,30,50,0.1,42
17.48129613449596,30,50,0.1,42
17.107984123767928,30,50,0.1,42
16.767474243904932,30,50,0.1,42
16.52010281213593,30,50,0.1,42
16.17358036443784,30,50,0.1,42
17.425594617397046,30,50,0.1,42
17.65368689887802,30,50,0.1,42
16.86228789150035,30,50,0.1,42
16.026887420009114,30,50,0.1,42
16.138841297141692,30,50,0.1,42
17.371357441301665,30,50,0.1,42
16.935828394634257,30,50,0.1,42
16.284053120990002,30,50,0.1,42
15.929811112482831,30,50,0.1,42
16.59145258978524,30,50,0.1,42
17.708197764313653,30,50,0.1,42
17.50588695916074,30,50,0.1,42
15.442638675033745,30,50,0.1,42
16.2121143930978,30,50,0.1,42
16.465482973897764,30,50,0.1,42
18.286479333538132,30,50,0.1,42
17.23317755678735,30,50,0.1,42
19.65900029818083,30,50,0.1,42
16.301138069308003,30,50,0.1,42
17.150401112114363,30,50,0.1,42
15.659278466778527,30,50,0.1,42
15.930874088116816,30,50,0.1,42
16.987024758621576,30,50,0.1,42
15.946649010646365,30,50,0.1,42
15.868725261218284,30,50,0.1,42
17.062604426372495,30,50,0.1,42
16.93840464226357,30,50,0.1,42
17.11603469736203,30,50,0.1,42
15.005520668544374,30,50,0.1,42
16.814564119186578,30,50,0.1,42
15.38477479096969,30,50,0.1,42
18.015703958903547,30,50,0.1,42
15.960907116310718,30,50,0.1,42
17.457219659244593,30,50,0.1,42
17.155938546381602,30,50,0.1,42
16.414678337902316,30,50,0.1,42
15.440196442487553,30,50,0.1,42
18.179717605334837,30,50,0.1,42
17.453100063259008,30,50,0.1,42
17.547782953902626,30,50,0.1,42
19.294968538087858,30,50,0.1,42
16.67441242823824,30,50,0.1,42
17.04879920567533,30,50,0.1,42
16.56799031635159,30,50,0.1,42
16.230990966438128,30,50,0.1,42
17.320158704189648,30,50,0.1,42
17.66405642964019,30,50,0.1,42
16.436448816487335,30,50,0.1,42
14.93889276668157,30,50,0.1,42
18.691932928099924,30,50,0.1,42
17.17192058859142,30,50,0.1,42
15.382381116627844,30,50,0.1,42
17.425316882566925,30,50,0.1,42
16.71151551865636,30,50,0.1,42
17.37533409131499,30,50,0.1,42
17.831330817581673,30,50,0.1,42
16.195742567255074,30,50,0.1,42
17.445245364140945,30,50,0.1,42
16.808540975867512,30,50,0.1,42
18.295928714890273,30,50,0.1,42
17.144180547752946,30,50,0.1,42
16.75318703150217,30,50,0.1,42
16.457786119899573,30,50,0.1,42
17.716591354775257,30,50,0.1,42
18.016108951873186,30,50,0.1,42
17.02292847687132,30,50,0.1,42
16.810722022529347,30,50,0.1,42
17.960831873846814,30,50,0.1,42
