star_index,delta_R_signed,delta_R_abs,R_after,E_real_after,source_id,ruwe,aen,phot_g_mean_mag
178,-0.000767639314547,0.000767639314547,0.8430402888080283,14.226454088140471,3.306541222060029e+18,1.083339,,14.329639
179,-0.0015580129392509,0.0015580129392509,0.8422499151833244,14.226454088140471,3.307650109600736e+18,1.1548831,,4.974638
180,-0.0012047344933772,0.0012047344933772,0.8426031936291981,14.166734701082556,3.308216770405335e+18,0.91010374,,8.763728
181,-0.0007026824196525,0.0007026824196525,0.8431052457029228,14.226454088140471,3.309026702454622e+18,1.0979569,,14.530704
182,-0.0055245021781322,0.0055245021781322,0.838283425944443,14.166734701082556,3.309918646903564e+18,1.0284376,,16.722443
183,-0.0023066745215843,0.0023066745215843,0.8415012536009909,14.226454088140471,3.310615565476268e+18,1.1201186,,6.0480075
184,-0.0024552143464016,0.0024552143464016,0.8413527137761737,14.226454088140471,3.310640648085374e+18,1.3031068,,11.770583
185,-0.0024349647287428,0.0024349647287428,0.8413729633938325,14.166734701082556,3.311604954142079e+18,0.9733023,,15.63984
186,-0.0023960437376716,0.0023960437376716,0.8414118843849037,14.226454088140471,3.311934086075989e+18,1.077109,,14.218251
187,-0.0025459432999206,0.0025459432999206,0.8412619848226547,14.226454088140471,3.312025001943976e+18,1.1712971,,14.3163395
188,-0.000772334012569,0.000772334012569,0.8430355941100063,14.166734701082556,3.312498341699861e+18,1.0338377,,16.517054
189,-0.0020399696695161,0.0020399696695161,0.8417679584530592,14.226454088140471,3.3129213787987543e+18,1.1496408,,10.505475
190,-0.0022646700400495,0.0022646700400495,0.8415432580825257,14.226454088140471,3.313778207594396e+18,1.2495142,,12.13662
191,-0.0021594349227846,0.0021594349227846,0.8416484931997906,14.226454088140471,3.313977356636886e+18,1.213657,,14.583092
192,-0.0017782350673458,0.0017782350673458,0.8420296930552295,14.226454088140471,3.4095485565933005e+18,1.0817941,,16.200205
193,-0.0029660384728148,0.0029660384728148,0.8408418896497605,14.166734701082556,3.410717848551558e+18,1.1288325,,13.595163
194,-0.0039526198701311,0.0039526198701311,0.8398553082524441,14.166734701082556,1.0817721244195712e+16,0.9882838,,15.033169
195,-0.0026685763928664,0.0026685763928664,0.8411393517297089,14.166734701082556,1.207064910518784e+16,1.0397114,,11.857552
196,-0.0021481284744233,0.0021481284744233,0.841659799648152,14.166734701082556,1.6439043160641152e+16,1.2780064,,11.551069
197,-0.0024731159349367,0.0024731159349367,0.8413348121876386,14.166734701082556,3.800740684822003e+16,1.0279157,,17.796648
198,0.000702031201212,0.000702031201212,0.8445099593237874,14.226454088140471,4.276853271677709e+16,1.1460392,,15.004859
199,-0.002645648359998,0.002645648359998,0.8411622797625773,14.226454088140471,4.283062076341875e+16,1.1813793,,14.037052
200,-0.0041902663073254,0.0041902663073254,0.8396176618152499,14.166734701082556,4.444291712683366e+16,1.1010736,,17.364635
