source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,ruwe,dr2_source_id,dr3_source_id,angular_distance,Proba,plx_sn
64114245300877184,57.29700152037766,22.609258005731753,7.455976057919426,0.029010396,21.057238451322103,0.036593974,-47.309507094315066,0.02336674,7.7059603,1.1223998,64114245300877184,64114245300877184,0.06224298,1.0,257.0104848644568
64856312568645248,56.52195568292751,22.981419243413214,7.602128024288136,0.018777581,20.514283661276494,0.020303842,-47.91048805067051,0.014524859,13.413954,1.0812526,64856312568645248,64856312568645248,0.057255607,1.0,404.8512985728028
64889126119831040,57.094462930924884,22.872477336102378,7.617353781069092,0.03413077,20.539052849387254,0.044744853,-46.74773678544327,0.027145123,15.062484,1.1173615,64889126119831040,64889126119831040,0.08712235,1.0,223.18141729355813
64923279699744256,57.25981898022836,23.25223911265763,7.266831729278644,0.020944558,19.730996700492646,0.02427146,-44.42819858102819,0.01704622,11.473286,1.1447881,64923279699744256,64923279699744256,0.1195904,1.0,346.9556005970873
64962174923490304,56.88419556070246,23.30633191106529,7.339722266111578,0.06421835,20.729001925708243,0.072896786,-45.43158657295105,0.054036416,16.41158,1.0396391,64962174923490304,64962174923490304,0.14799449,1.0,114.29322450880622
64963377514329984,56.84184912038183,23.359958000577215,7.456198708615304,0.06880964,21.312007944847327,0.081965916,-44.50127002300362,0.058664735,16.68825,0.9374413,64963377514329984,64963377514329984,0.13458288,1.0,108.35979292312231
64980832261312640,56.70879817515686,23.53208141913091,7.435614097188134,0.04823119,20.87945193664808,0.056650817,-45.02175262335697,0.04124148,16.288599,0.9718782,64980832261312640,64980832261312640,0.12411192,1.0,154.16609819236538
64027143362491008,56.93624264298835,22.397962763767943,7.551832932850046,0.07385354,21.0570556765474,0.087171614,-46.67305383314692,0.062851965,16.656425,1.0140587,64027143362491008,64027143362491008,0.02708173,1.0,102.2541802950823
64066107307543296,57.7244693872803,22.547865345919984,7.265606256190289,0.014892689,17.873394979928694,0.020576183,-45.12251929683014,0.01115941,12.36464,1.0412614,64066107307543296,64066107307543296,0.09569776,1.0,487.863963278845
64078167575681152,58.023304456290134,22.5818520695269,7.516364021774598,0.029886523,18.648030432198013,0.037116196,-45.63048241385099,0.021863384,15.099433,1.0850873,64078167575681152,64078167575681152,0.20096123,0.9,251.4967684921518
64438841747360768,55.749067726136026,22.424067531711877,7.451832197267993,0.016621763,21.407386970466742,0.021107519,-44.390267261350516,0.012865195,13.361495,1.0982671,64438841747360768,64438841747360768,0.0497563,0.9,448.31780167288935
64642801154268672,55.355615544447744,22.548726260993725,7.301884780583152,0.035308156,21.130083979586356,0.044404972,-44.50126629460796,0.029709408,15.303823,1.0215476,64642801154268672,64642801154268672,0.044741604,1.0,206.80447732748618
64665203703566848,55.18006539676142,22.83147815980321,7.382203157174722,0.07987329,20.699290987858724,0.09736094,-44.363767855385284,0.06424828,16.899952,0.951585,64665203703566848,64665203703566848,0.1503821,1.0,92.42392320280396
64798038452412928,56.301887263098536,22.69730741222624,7.290828186403347,0.05517477,19.383744770885322,0.06313525,-46.04101016663466,0.053323645,16.174246,1.0635617,64798038452412928,64798038452412928,0.13790725,1.0,132.140613585691
64905618794174720,56.703355129215566,23.06855140288392,7.2387256119114145,0.042743936,20.84081773712675,0.054025363,-45.29591983791391,0.034456056,15.04029,1.2245486,64905618794174720,64905618794174720,0.11723884,1.0,169.35093626490803
64928674178659968,57.38409775234471,23.271498869578785,7.354278323471858,0.09994091,20.4549652303075,0.113565266,-44.87002052000801,0.083096094,17.513542,0.9231417,64928674178659968,64928674178659968,0.2173812,1.0,73.58626467018486
64959662365552384,56.78069149429426,23.226156744121546,7.309612988988913,0.015793763,19.295192861656584,0.018829763,-45.43850995081102,0.013172669,13.143335,1.0686795,64959662365552384,64959662365552384,0.06707357,1.0,462.8164258383354
63693785181958912,57.4659251417893,21.307130860806396,7.215799510913274,0.030754028,19.91533893013088,0.037615784,-44.129929635462005,0.021416768,14.509014,1.211051,63693785181958912,63693785181958912,0.060752954,1.0,234.62941300404
64095656682494720,57.91274273726911,22.750074669732147,7.284987335263736,0.017025813,19.604490971156867,0.021057004,-45.596747505378964,0.013641431,11.850179,1.272211,64095656682494720,64095656682494720,0.07037881,1.0,427.8789587486742
64679840952155264,54.66976712540925,22.659409622396907,7.3735646873637215,0.038997106,20.157222248000696,0.04506038,-45.35939552579252,0.033973265,6.7019362,0.95297456,64679840952155264,64679840952155264,0.013680541,1.0,189.07979067263082
64929391436043264,57.42060476339698,23.341369648361887,7.3159120319680895,0.04082006,18.7330771968439,0.040723853,-45.13349681432525,0.038173627,8.094326,1.2130493,64929391436043264,64929391436043264,0.14595188,1.0,179.22345808449722
64956127609464320,56.45349543711508,23.14694333291917,7.4211396976655095,0.041989394,20.513910371784853,0.05286644,-45.699760208111584,0.033643007,6.895188,1.0942224,64956127609464320,64956127609464320,0.13896185,1.0,176.7384349564628
64979732749686016,56.75601002050891,23.494741451278703,7.386528543828836,0.01865727,19.0718927796905,0.022934148,-45.023437835823266,0.015802365,11.273634,0.9098149,64979732749686016,64979732749686016,0.123386405,1.0,395.90616524293097
63824901943723392,58.01832823927351,21.760705033269936,7.3591452377643,0.101247855,18.176978689225006,0.1257934,-44.522902687547614,0.07493024,17.552294,0.971319,63824901943723392,63824901943723392,0.17040074,0.9,72.68445609901588
64021714523841280,56.83519780827225,22.365563362379287,7.3267714619524815,0.087684184,19.471856841625943,0.097058006,-46.254349896532375,0.078045875,17.03976,1.0793995,64021714523841280,64021714523841280,0.12655205,1.0,83.55864309364652
64050645425295872,57.76638978663602,22.404544971048768,7.434510624162738,0.018818285,19.342089985005458,0.026083885,-45.99644636903686,0.014085068,13.859603,1.0405931,64050645425295872,64050645425295872,0.0685192,1.0,395.0684400427931
64059407158605568,57.39781407380614,22.39046720119339,7.399756837891425,0.09320872,19.47132579352298,0.10602998,-45.00153299664306,0.071098305,17.05874,0.9411865,64059407158605568,64059407158605568,0.14623307,1.0,79.38910241409404
64103009666497024,57.849313048424804,22.841272958150647,7.430605491985016,0.016472751,19.641777668946855,0.01943968,-44.98903735020462,0.013182995,13.666987,0.99236435,64103009666497024,64103009666497024,0.06863529,1.0,451.08466509751975
64879402312818944,56.21358052689102,23.26872443224326,7.394624876379964,0.018698333,20.545926181047776,0.022892917,-44.30031551839597,0.016449539,8.886077,0.9805125,64879402312818944,64879402312818944,0.03763786,1.0,395.4697428433929
64884624994048256,56.89500778235771,22.801125159997,7.307114829720655,0.04966351,20.063807137477315,0.060456045,-44.55267649851964,0.038488965,16.003756,1.0177438,64884624994048256,64884624994048256,0.14644696,1.0,147.13246816796604
64895139073954944,57.02435006099223,23.0339500921625,7.309302082629353,0.031006156,19.293114387985597,0.038238708,-44.997770784618794,0.024521362,15.133998,1.1005108,64895139073954944,64895139073954944,0.111366816,1.0,235.73712884985454
64900739711320960,56.91586191032635,23.00110222643323,7.46137150586521,0.097947486,18.68608706268651,0.13129589,-45.00641029139872,0.08176051,17.231815,1.0069556,64900739711320960,64900739711320960,0.052655566,0.9,76.17726426683356
