cluster,bootstrap_id,R,real_error,null_mean
pleiades,38,3.1480260469437086e-05,2.3141862697824467e-05,0.7351229739757703
pleiades,39,2.519788768243879e-05,1.829597911267513e-05,0.7260917797258926
pleiades,40,2.835327260421501e-05,2.167138774293856e-05,0.7643346165167855
pleiades,41,2.324188576227112e-05,1.7021802281986256e-05,0.7323761271393041
pleiades,42,2.179201093041038e-05,1.6118011259949604e-05,0.7396293674512248
pleiades,43,2.6346488274270867e-05,1.9246927032585446e-05,0.7305310230426943
pleiades,44,1.7968146223977745e-05,1.2748452219092379e-05,0.7095029203446763
pleiades,45,2.63488529092653e-05,1.9592551266758938e-05,0.7435827029824672
pleiades,46,3.184988759549508e-05,2.3730261518620346e-05,0.7450657854747597
pleiades,47,2.2787395495867783e-05,1.623575477754259e-05,0.7124883921239155
pleiades,48,2.4188192775939596e-05,1.7890675655342872e-05,0.7396449921276892
pleiades,49,2.1897205652071053e-05,1.5624140764004736e-05,0.7135221275380859
pleiades,50,2.5681040510350368e-05,1.875192922209879e-05,0.7301857264911482
pleiades,51,2.6169662933413713e-05,1.922026594879492e-05,0.734448357156877
pleiades,52,3.2427216595160366e-05,2.2925201412479077e-05,0.7069740736212485
pleiades,53,2.692113538060248e-05,1.9674093281653633e-05,0.7308047377462926
pleiades,54,3.1726530854830574e-05,2.3148465183540288e-05,0.7296248458257069
pleiades,55,3.058845229465691e-05,2.2110326203163148e-05,0.7228324594580846
pleiades,56,2.7630046938152927e-05,2.048789208598539e-05,0.7415076829889384
pleiades,57,2.6182670225379496e-05,1.866447678312102e-05,0.7128561228651572
pleiades,58,3.1040075298565385e-05,2.295242467492846e-05,0.7394448774416883
pleiades,59,2.1468236315708408e-05,1.5546224671689615e-05,0.7241500625887172
pleiades,60,2.725500358014285e-05,1.9797511542245636e-05,0.7263808087212833
pleiades,61,2.506413016397095e-05,1.8357616811804494e-05,0.7324258488807683
pleiades,62,2.4832328807167642e-05,1.8508492205599866e-05,0.7453385604437368
