star_index,delta_R_abs,spatial_offset_pc,projected_3d_outflow_kms,group
497,0.0071019178631271,10.991604555086138,-19.574120847251127,Top-50
617,0.0070305468915788,17.042657025612485,-7.3483618245889275,Top-50
27,0.0070244263226419,6.622741105543855,6.800854773011244,Top-50
700,0.0070028116422505,14.130023736018885,-39.46659584505197,Top-50
729,0.006970117862408,8.385356308909053,-4.286285306178774,Top-50
43,0.0069301084171181,15.557907217140077,-18.06068703622774,Top-50
256,0.0069174139862502,16.16052790536813,-19.87801292689992,Top-50
7,0.0069094639266417,8.964229746089742,26.433659737184904,Top-50
22,0.0068477093355939,7.9073785597162125,18.90402642720159,Top-50
577,0.0068256127209646,17.571446643952747,11.902436433092198,Top-50
408,0.0065291121728853,13.096340961430018,-15.28377696656164,Top-50
534,1.2715011052599756e-05,12.32839613723186,-17.44253390769405,Bottom-50
379,1.9328984176114616e-05,16.191962224665385,11.367769644034995,Bottom-50
141,2.257222419643768e-05,11.502346722347749,-15.046759996475561,Bottom-50
698,3.9107527855741786e-05,12.118730357329264,-0.39178609707605266,Bottom-50
239,4.504078682932011e-05,13.681027921034648,35.50404482720907,Bottom-50
387,5.643376197916883e-05,12.425743645186136,-30.240427038110102,Bottom-50
747,5.80554492676244e-05,4.208386324515007,-2.25203956281216,Bottom-50
80,0.0001151087355332,17.672627549556985,-24.967437776516704,Bottom-50
644,0.0001221790924591,11.64850804730634,-15.09855595874411,Bottom-50
216,0.0001241743699972,12.502126941771616,-1.184305720818219,Bottom-50
521,0.0001324461233352,13.951947405458586,-6.909034337992955,Bottom-50
543,0.0001523240049031,4.903896720858803,-40.08592086512014,Bottom-50
748,0.0001572405963302,6.292120426228756,-2.1321808717300046,Bottom-50
639,0.0001645647859659,18.251843200440895,-17.430578746458966,Bottom-50
73,0.0001896104647377,16.137791136516235,-5.606283552682271,Bottom-50
540,0.0001942285564713,10.991981992480532,0.5959768428986978,Bottom-50
407,0.0002019857764709,7.827306507006453,-21.490178749194445,Bottom-50
660,0.0002052117784131,7.634067388553832,-16.892128018638548,Bottom-50
535,0.0002090413400677,13.420809097424227,0.38994264225736863,Bottom-50
800,0.000223216869742,18.425891765857482,-17.76278170169087,Bottom-50
