source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error,plx_sn
65389300831383040,58.86312229178461,22.76447777632679,16.67572388003914,-64.32043764324392,-36.47697987041202,13.996708,1.1200618,0.019059006,0.023217067,0.0145339025,874.952444006741
149858216482858112,63.2182413946703,24.204709346369206,16.039221333557816,43.09693969161764,-89.61311250816189,14.296043,1.1353176,0.025610248,0.032106046,0.019849503,626.2813750791408
3276710062849119360,55.71041450180186,6.032241468892978,16.84886778371628,47.095399157257205,-65.36632952729948,14.304124,1.2353252,0.02669895,0.035052463,0.025635106,631.0685545205441
3294231188658456576,69.30791904595169,11.14786702090327,29.998461439979465,199.0969589461517,-207.52599669028052,11.814321,1.2624866,0.023612207,0.027204888,0.017373268,1270.4641052816226
3299135667649859456,65.49107079491212,8.515297222827527,15.90685858176758,59.02911169022816,2.462512314367041,10.3884,0.9079436,0.0169129,0.018321423,0.013785067,940.516326695456
3299454697820755328,66.04427266578075,8.516462452539436,26.84978254211404,37.762352868122335,-46.05184694904959,12.252532,1.184339,0.020562168,0.030006511,0.02151208,1305.785583607431
3302846072717868416,58.84239878109967,9.788346084659436,28.58730854046993,173.27410124015998,-5.569188780863079,14.54784,1.0342387,0.037111998,0.03520729,0.02492708,770.2982884529669
3303882706024344448,62.19512757164039,11.675771990996829,21.092858138976304,-153.6012529231797,-189.4523810216582,15.035881,1.2139567,0.03610318,0.048361637,0.03662622,584.238234387561
3304096595394580608,64.04579641854981,11.533700148804412,22.155187173749795,117.3807408578851,-11.249655875651674,15.822491,1.1517107,0.05399155,0.06630351,0.051600095,410.3454554231133
3304478125929665152,62.77739952085224,12.796656305532592,23.069811081863524,132.35436986363968,-13.390464852866112,16.51471,0.78237844,0.096398816,0.13474517,0.10107835,239.3163322863169
3304849176745102080,60.29641649002439,12.098370014663557,20.670897672407094,89.38949633438797,0.4492702139200054,11.32913,1.1256096,0.021269387,0.026609322,0.016387874,971.861467958954
3305082857325605760,61.89189971299583,12.188005311219875,16.95449888046844,70.00346241572005,-12.023456434926551,16.299545,1.0287272,0.070133425,0.0942799,0.053278748,241.74634107015933
3306095473174253184,67.37459465106288,11.22477007078053,20.357770327605216,34.735401355962026,57.90871566873965,15.154878,1.1141397,0.03488258,0.04162954,0.028442457,583.6085039468186
3311148828615843328,65.88522390284595,14.67039844789645,21.47606756520902,109.24196419712032,-17.947133876529186,8.887173,0.9755319,0.018978797,0.022689065,0.0153806405,1131.5821316392721
3312960205303089664,67.48275769215242,16.913911822491304,22.72646779815639,109.78026960512184,-31.23702514412812,11.965812,1.2046871,0.017441224,0.020239381,0.014459811,1303.0317022564693
3313606340183243136,65.98260314349544,16.354077059105514,22.088260260658192,114.60982694374128,-27.79161336804319,14.329463,1.1103308,0.032218892,0.04029375,0.029749956,685.5685869227965
10813357557424768,50.944366380686,8.083631442538644,26.076298063568952,64.97290977913462,-298.8750099408725,15.950438,1.0538352,0.050290577,0.0592532,0.050008614,518.5126045296507
11279889789590656,53.30499801210235,7.452548509540562,19.587084361645225,-65.21378914191497,-70.76440123272846,10.728853,1.063036,0.015039447,0.01979921,0.014617756,1302.3806235458808
11589475327804160,53.21687099389035,8.366617590396853,21.36091774393805,3.8768344776718378,-39.87015589670175,16.65711,1.0652043,0.076568395,0.083037086,0.07235876,278.97826177417
16036828063265664,51.29343704903323,11.213285106103722,19.795769622060785,220.79055104850568,-42.99116511359352,10.314437,1.3176414,0.024249079,0.027784545,0.019255312,816.3514013072738
17525291928845952,50.349622178044456,12.478438745708214,16.558597615884914,337.21882780043893,-538.9068622331457,15.749768,0.9872184,0.08749732,0.093025036,0.0734106,189.24691197267427
17525291929400832,50.34972187682506,12.478075257578778,15.133793700977684,341.86376349007423,-540.6136760198974,16.75055,0.92831844,0.1173933,0.12503679,0.099059984,128.91531033694156
30015331704220928,50.39409988474839,14.319173907804084,27.309617282563103,466.9440011528385,-302.8425907264461,14.004757,1.2063694,0.023065923,0.030080948,0.021462075,1183.981117190199
37919171042054784,57.07357684671196,13.31745789090274,20.90871203755435,84.34153745455453,-17.05626173748721,13.666759,1.2763431,0.022427408,0.023196194,0.017664589,932.2839285553796
38017646052130176,55.38942715989635,12.869092101497186,27.93174412535668,17.73512072559749,-337.78930760368905,12.5516405,1.372588,0.02148912,0.023505528,0.017612066,1299.808653186202
