dr2_source_id,dr3_source_id,angular_distance,Proba
65169943964429952,65169943964429952,0.15465324,1.0
65170016980919808,65170016980919808,0.038834676,1.0
65173620458875008,65173620458875008,0.29321125,0.9
65175480179315840,65175480179315840,0.14541383,1.0
65179946945247488,65179946945247488,0.049278818,1.0
65181527493208192,65181527493208192,0.03423785,1.0
65184894747573376,65184894747573376,0.118082784,0.9
65188090203295744,65188090203295744,0.06496383,1.0
65189739470654464,65189739470654464,0.02989881,1.0
65190048708380160,65190048708380160,0.07399016,1.0
65190220507070208,65190220507070208,0.08126608,1.0
65194584193758336,65194584193758336,0.06757791,1.0
65196370900147968,65196370900147968,0.043375004,1.0
65196405259884544,65196405259884544,0.07098261,1.0
65199222758514048,65199222758514048,0.06416194,1.0
65199978672758272,65199978672758272,0.07214702,1.0
65200283613608704,65200283613608704,0.08821705,1.0
65201039527567232,65201039527567232,0.07122854,1.0
65201249983083392,65201249983083392,0.15235126,1.0
65202383854448384,65202383854448384,0.12500928,1.0
65202418214188544,65202418214188544,0.5121138,1.0
65202830531043968,65202830531043968,0.09776005,1.0
65203758244032512,65203758244032512,0.17127037,0.9
65206674525036672,65206674525036672,0.20594478,1.0
65207709611941376,65207709611941376,0.13236089,1.0
65207709613871744,65207709613871744,0.4315545,1.0
65208396808627840,65208396808627840,0.091910034,1.0
65211145587780992,65211145587780992,0.06415596,1.0
65211557904569856,65211557904569856,0.15479587,1.0
65212107660378880,65212107660378880,0.06487721,1.0
65212691773969280,65212691773969280,0.26353973,1.0
65212691775922048,65212691775922048,0.3199629,0.9
65212760495396736,65212760495396736,0.06304972,1.0
65212932294091264,65212932294091264,0.1684036,1.0
65213172812266240,65213172812266240,0.18550645,1.0
65213172812266752,65213172812266752,0.13180995,1.0
65214409762926720,65214409762926720,0.065965414,1.0
65214856439472640,65214856439472640,0.055821218,1.0
65216363971331072,65216363971331072,0.21815823,1.0
65216643145862144,65216643145862144,0.06341194,0.9
65221487868870784,65221487868870784,0.19059116,1.0
65222518661019520,65222518661019520,0.03644347,1.0
65222759179189248,65222759179728640,0.18261622,1.0
65223515093523328,65223515093523328,0.06391811,1.0
65223583812996864,65223583812996864,0.26723415,0.9
65223618172733952,65223618172733952,0.052476477,1.0
65224442806459008,65224442806459008,0.05788141,0.9
65225469302220800,65225469302220800,0.020558944,1.0
65225611037551360,65225611037551360,0.08313451,1.0
65226092073881856,65226092073881856,0.05073819,1.0
65226401311534208,65226401312036864,1.2150444,0.9
65229184450247296,65229184450247296,0.07842798,1.0
65230764996027776,65230764996027776,0.15689833,1.0
65231486552803328,65231486552803328,0.08234376,1.0
65232066371441792,65232066371441792,0.11798165,1.0
65232105028172160,65232105028172160,0.25361523,1.0
65232757863112192,65232757863112192,0.12438114,1.0
65237911823760640,65237911823760640,0.031122193,1.0
65241313435901568,65241313435901568,0.08005207,1.0
65241313437941504,65241313437941504,0.06046841,1.0
65241863193865856,65241863193865856,0.09489178,1.0
65242069352190976,65242069352190976,0.289995,1.0
65244435877629824,65244435877629824,0.13135114,0.9
65244749411766528,65244749411766528,0.039625943,0.9
65245539685760640,65245539685760640,0.057935435,1.0
65247704349267584,65247704349267584,0.089934036,0.9
65248151025861120,65248151025861120,0.07950879,0.9
65254576296865152,65254576296865152,0.07091192,1.0
65254851174771584,65254851174771584,0.0782951,1.0
65254885534508672,65254885534508672,0.15814911,0.9
65257187636977536,65257187636977536,0.14625126,1.0
65263097511969792,65263097511969792,0.26790828,1.0
65263612908043392,65263612908043392,0.014823686,0.9
65264506261240448,65264506261240448,0.1670105,1.0
65265674492422784,65265674492422784,0.16066398,1.0
65266494828710400,65266494828710400,0.37569913,1.0
65267078945207296,65267078945207296,0.12902655,1.0
65267388182879104,65267388182879104,0.1615705,0.9
65269935099961600,65269935099961600,0.07609763,1.0
65270450496044416,65270450496044416,0.044652127,0.9
65272817023559040,65272817023559040,0.02166405,1.0
65275020341243520,65275020341243520,0.1023588,1.0
