source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
47322297561027712,64.65025269592638,17.51585330705525,27.013883133112902,64.83592028883993,-61.09386700826641,14.369595,1.2812126,0.031393684,0.044030655,0.029656326
47577487338245120,63.93891248346573,17.845231811982345,15.02770828071358,-5.2128739793157255,-87.58018920314812,15.318497,1.07039,0.035482384,0.03909532,0.029104117
49206035857919232,64.92345261762091,20.649536425405454,18.323596397758674,146.86805751084444,-107.92341986090446,14.999049,1.0469764,0.031933613,0.03619675,0.027276516
51995909173956352,63.014669018277324,20.831140302830953,24.37753823790744,136.44179038700435,-40.744858170300105,14.934368,1.1451414,0.038979452,0.040789537,0.032453377
52040233236358784,62.641036430418026,20.860791541773384,15.303204040262715,88.60688337727844,-27.49875629094553,12.362413,1.05956,0.01713576,0.018256022,0.012938871
52548241968465408,64.13999161938219,21.907296831619146,19.675616283441308,104.7359402863169,-38.33915954545091,8.929961,1.0237026,0.018558407,0.022987017,0.017078375
53825771402706304,61.588136973493825,23.424048034943077,23.551841473612797,135.3418422352381,-47.049756010352226,13.104071,1.3598814,0.018910246,0.02312117,0.014025397
56413781254974080,53.53534931054166,17.83144865206094,23.85926549379988,94.3822545931632,-310.4483270704404,5.914572,0.94371486,0.02601434,0.024980145,0.019425437
57021123989934464,55.293942276023884,19.133299736049313,15.039545362303159,16.95045038470056,-32.576567932096594,15.837281,1.0352622,0.04809595,0.050734766,0.039527312
57833147687987200,51.18212379040072,19.882213902294684,20.83946659943264,461.7252108125269,-240.45976421020592,13.0851145,1.2046438,0.014166735,0.016757414,0.013087651
68012529415816832,53.758961227708156,23.709557833830917,19.724531564008167,51.47695940146935,-62.84685159503227,16.295265,1.2167352,0.08993531,0.10700939,0.08186823
144574788234755584,67.93071004288953,21.153082191416896,16.482431337680897,79.08601056329887,-30.714312684983007,15.912512,1.0093867,0.05767576,0.06291814,0.037792023
