realization,purity,contamination,cluster_median,field_median,delta
29,0.8,0.19999999999999996,0.8045715805872213,0.9702366858169664,0.1656651052297451
30,0.8,0.19999999999999996,0.8450247880982973,1.0205447189593242,0.1755199308610269
31,0.8,0.19999999999999996,0.8764167277220982,0.9496918888321515,0.07327516111005328
32,0.8,0.19999999999999996,0.774322627526639,0.9885209635827663,0.21419833605612726
33,0.8,0.19999999999999996,0.8579944511085482,0.9618145916540812,0.10382014054553301
34,0.8,0.19999999999999996,0.8145533438481474,1.023386489875157,0.20883314602700964
35,0.8,0.19999999999999996,0.875180651070629,0.9756224704651446,0.10044181939451557
36,0.8,0.19999999999999996,0.80670173221061,0.9562145915301326,0.14951285931952252
37,0.8,0.19999999999999996,0.8749164603766579,0.9819428858477319,0.107026425471074
38,0.8,0.19999999999999996,0.8225450884316259,0.9916105784571589,0.16906549002553306
39,0.8,0.19999999999999996,0.8133705760189103,0.9963971788539806,0.18302660283507033
40,0.8,0.19999999999999996,0.8239395820139626,0.9614868407315535,0.137547258717591
41,0.8,0.19999999999999996,0.773468717308685,0.9967450979117378,0.22327638060305277
42,0.8,0.19999999999999996,0.8351956023219783,0.9904568175397992,0.15526121521782088
43,0.8,0.19999999999999996,0.8514039638066588,1.0074835296179234,0.1560795658112646
44,0.8,0.19999999999999996,0.858609351416566,0.9474222862023082,0.08881293478574215
45,0.8,0.19999999999999996,0.8611312168706213,0.9908659617902733,0.12973474491965198
46,0.8,0.19999999999999996,0.8729469964721123,0.9811583780726448,0.10821138160053256
47,0.8,0.19999999999999996,0.8041384748606213,0.9992288677159058,0.1950903928552845
48,0.8,0.19999999999999996,0.7959982482429183,0.9734491384951632,0.17745089025224492
49,0.8,0.19999999999999996,0.8465637510305795,1.0244199815386388,0.17785623050805932
0,0.7,0.30000000000000004,0.8521885205732653,1.0025300240874677,0.1503415035142024
1,0.7,0.30000000000000004,0.7487686792472834,1.0229645298863077,0.2741958506390243
2,0.7,0.30000000000000004,0.8043604046963728,1.024603836005024,0.2202434313086512
3,0.7,0.30000000000000004,0.7316188686963133,0.9708250353191895,0.2392061666228762
4,0.7,0.30000000000000004,0.873540203872534,0.9536152709841195,0.08007506711158552
5,0.7,0.30000000000000004,0.8707327615405795,0.9495656922620761,0.07883293072149655
6,0.7,0.30000000000000004,0.859409681051716,0.9811220148605952,0.12171233380887925
7,0.7,0.30000000000000004,0.789305813106945,1.0227720250675862,0.2334662119606412
8,0.7,0.30000000000000004,0.9010831196791442,0.9802177837411912,0.07913466406204694
9,0.7,0.30000000000000004,0.9072260458486698,0.9767648452147706,0.06953879936610075
10,0.7,0.30000000000000004,0.8069488103406274,1.009575105449486,0.20262629510885855
11,0.7,0.30000000000000004,0.7995971770754882,1.0408223045158487,0.2412251274403605
12,0.7,0.30000000000000004,0.8361341187953598,0.9883109634482705,0.1521768446529107
13,0.7,0.30000000000000004,0.9278981046635011,1.0302312012004098,0.1023330965369087
14,0.7,0.30000000000000004,0.7935981340460679,0.9823134182580215,0.1887152842119536
15,0.7,0.30000000000000004,0.7406975181095519,0.982772568249462,0.24207505013991015
16,0.7,0.30000000000000004,0.8455951245564145,0.9895703512442735,0.143975226687859
17,0.7,0.30000000000000004,0.8620116638026607,0.9922279640534561,0.13021630025079545
18,0.7,0.30000000000000004,0.8419318771201967,1.0176773167732158,0.17574543965301914
19,0.7,0.30000000000000004,0.8225854670364536,1.015542079643763,0.19295661260730945
20,0.7,0.30000000000000004,0.7999108278505962,0.9874687385875887,0.18755791073699246
