population,ratio
hyades,0.8322737729958958
hyades,0.919612565546425
hyades,0.979929717096974
hyades,0.8156554829566744
hyades,0.8548326857836093
hyades,1.0197814412173631
hyades,0.7960829353103002
hyades,0.8188488859774207
hyades,0.8652211784555932
hyades,0.8073983110942452
hyades,0.8355969417371863
hyades,0.851490130096885
hyades,0.7959555281576602
hyades,0.8502079721904752
hyades,0.8669583153936576
hyades,0.8325579245990862
hyades,0.8982848239738741
hyades,0.84053329167229
hyades,0.8828363725230434
hyades,0.8668422527999149
hyades,0.8236229735043598
hyades,0.8040425297504296
hyades,0.794071965310927
hyades,0.8765316138050402
hyades,0.9841852178772685
hyades,0.8731630593369385
hyades,0.8339650983484189
hyades,0.8272960780612143
hyades,0.8101036258660097
hyades,0.9481630017517743
hyades,0.8051235542292381
hyades,0.8595374383528436
hyades,0.9927627043509085
hyades,0.8442856146423788
hyades,0.856660829971274
hyades,0.7787710853988065
hyades,0.8427014335996869
hyades,0.854434438698626
hyades,0.815519757832928
hyades,0.8635949307110458
hyades,0.8422835813088742
hyades,0.8721828479977924
hyades,0.8543517361385171
hyades,0.8797760635615428
hyades,0.8745350185750372
hyades,0.901996791464497
hyades,0.8189255886040363
hyades,0.852659793406212
hyades,0.8950152474296764
hyades,0.8847569274763197
hyades,0.8658575345966525
hyades,0.8764371270341332
hyades,0.805761496365555
hyades,0.869492624306684
hyades,0.8040952145812458
hyades,0.849149465013794
hyades,0.8310373337922465
hyades,0.8108494969669273
hyades,0.791445016699361
hyades,0.8149069497346771
hyades,0.8902762816083439
hyades,0.8493442843166097
hyades,0.8842310205643303
hyades,0.8245561335500556
hyades,0.811902904717454
hyades,0.8788712742840868
hyades,0.9293107997013422
hyades,0.8753240999437506
hyades,0.8701184040593561
hyades,0.7883364213204934
hyades,0.8199336075423754
hyades,0.8925138216361234
hyades,0.8530060630083667
hyades,0.8474794971384066
hyades,0.7535850537000063
hyades,0.8578150552369139
hyades,0.8234125761717522
hyades,0.8347890213609557
hyades,0.9296843659011594
hyades,0.8617840798193284
hyades,0.8178732541787391
hyades,0.8208274179049838
hyades,0.8621356915092306
hyades,0.7872168994908313
hyades,0.8730732169396674
hyades,0.8404852609903748
hyades,0.880774052511637
hyades,0.7702831776766178
hyades,0.9079877233454573
hyades,0.9061802417962271
hyades,0.8244960855992052
hyades,0.9015218518254678
hyades,0.854815328616527
hyades,0.7886998988901716
hyades,0.8478382771240188
hyades,0.8548519406873472
hyades,0.8038155567078024
hyades,0.9339814281650248
hyades,0.8192799093206965
hyades,0.9188243198156532
hyades,0.8435230102124284
hyades,0.8018582668047254
hyades,0.9086609352205008
hyades,0.8085913407779555
hyades,0.8932044675169957
hyades,0.8687736175030711
hyades,0.8349157670830274
hyades,0.8243732552217325
hyades,0.898898422654044
hyades,0.8260188855507843
hyades,0.8501105570345748
hyades,0.8935130055003665
field,0.9487800162893898
field,0.9357140775289472
field,0.9574881770378456
field,0.9845412117234484
field,0.9954737515041416
field,1.013383598467236
field,0.980535782145514
field,0.9574494694149689
field,0.9632298173410594
field,0.9724173625745001
field,1.0110609198391647
field,0.9962930421126943
field,1.0024980156899832
field,0.9903477326083082
field,0.9473825444853843
field,1.028277327197059
field,0.9979627860600668
field,0.9968042458228185
field,1.0437976714176498
field,1.0738311094234072
field,0.9550206270034097
field,0.9488094780571873
field,0.9826099405250989
field,0.9714779518201443
field,0.9733850216220018
field,0.9511413560451503
field,1.03677851574358
field,0.9491636814953169
field,0.9870238689014478
field,0.9363841193695212
field,0.9637526698753944
field,0.9561584473146338
field,0.985426161392865
field,0.9874050632521301
field,1.0001066993661951
field,1.0600075985125208
field,0.9537743763092937
field,0.9808592097307584
field,1.0128474279723687
field,0.973458937378673
field,1.0106686924808692
field,1.0297416568651787
field,0.9396320298225028
field,1.013498192410528
field,1.016338694940357
field,0.957498382196387
field,1.0170282557837036
field,1.0057772312209223
field,0.9775942000047804
field,0.9535718644621388
field,1.0486297295918354
field,0.9910612972229641
field,1.0096598271122836
field,0.9354186200217023
field,1.011209095385655
field,0.9315924488040738
field,0.9534235095981177
field,0.9659923751890872
field,0.9930895401768058
field,1.053299572253776
field,0.9831611703257768
field,0.971648628928504
field,1.0009306980376518
field,1.0336441179155382
field,1.0535240772828287
field,1.005796710379117
field,1.047754021580904
field,0.9565454197171004
field,0.9946461852919457
field,0.9602748135764435
field,0.9778674591094275
field,1.024040727670664
field,1.0082988321187667
field,0.9988474326178672
field,0.9922427499335034
field,0.9718386305309258
field,0.9339272306556927
field,1.017581578857384
field,1.0047068627387519
field,0.9840092309921223
field,0.9760583816421261
field,0.9351435840837908
field,1.0211542384736234
field,0.9678650935766854
field,0.9762050200178127
field,0.9798341306560717
field,1.0192084661788874
field,0.9917532673044303
field,0.9678834262310761
field,1.0106704676435807
field,1.0154934887365688
field,1.0464650573724517
field,0.9494329871918494
field,1.0379649468261045
field,0.9710378235007037
field,1.0316495757064494
field,0.9696295315496325
field,1.034737583451451
field,0.9687656321792136
field,0.976350309051788
field,0.9950816821856445
field,0.941475837557244
field,0.9927015510681858
field,0.9851365701520004
field,0.9791811226611695
field,0.9435209491182298
field,1.0341400464214512
field,1.0187235170969988
field,0.9832351185993099
field,0.9895339981721204
field,0.9419701193162541
field,0.9655780262937078
field,0.9903342676538665
field,0.9310201049422616
field,0.9855295706253505
field,1.0406086661341503
field,0.9627263852328898
field,0.9568726179777195
field,0.956124775566318
field,0.9420982373033618
field,1.0110201392293665
field,0.983821750915751
field,1.0001952231368247
field,0.9688237998794103
field,0.9561640385828146
field,0.9546620717184013
field,0.9810164176770259
field,0.9920510059260297
field,0.9585577107056518
field,0.9881015802725963
field,0.9762141696932806
field,0.9389978058723594
field,0.9800372437169301
field,0.9603192730960665
field,0.9757956090011526
field,1.000322828661246
field,1.010899153134466
field,0.9733528048979241
field,0.9615654149669343
field,0.9791696093769695
field,0.9603457518756869
field,1.0458665199922434
field,0.9680913866287338
field,0.9702495618493339
field,1.008235232860339
field,0.9334000996638879
field,0.958143200021271
field,0.9310813565362536
field,0.9582318961555555
field,0.9967742438992852
field,0.9476174336960423
field,1.0229551848181044
field,0.968451154744944
field,0.9707561043646087
field,1.0089182201257723
field,0.9710421923171727
field,0.9863477135782645
field,1.0274328037560385
field,0.9728669248199603
field,1.0542032539473234
field,1.0620697500006735
field,0.9937780709753743
field,1.017433277612916
field,0.9575007741193928
field,1.0066680315035803
field,0.9472460816216556
field,1.0241603783465085
field,0.9774351430276358
field,0.9572688313484463
field,1.0305272906092227
field,1.0186792884461977
field,0.9992130528425988
field,0.9731531943850489
field,1.0240287743151804
field,0.99267981212912
field,0.9998930078673509
field,0.9659821809489759
field,0.9762478387458301
field,0.9621141136972273
field,1.0055734060251504
field,0.967280980287511
field,1.0086892838292483
field,0.9974914036279868
field,0.9864645491121502
field,1.027794233744488
field,0.9985993277035117
field,0.9411552247262063
field,1.0102329314304344
field,0.9336097573578648
field,1.010873444556005
field,0.9899005208436896
field,0.955923839262526
field,1.045335125384996
field,0.989804127740578
field,1.0029253887879228
field,1.0557173709750394
field,0.9880463126084224
field,0.988241673663385
field,0.9781539975053735
field,0.924082559434785
