source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,phot_bp_mean_mag,phot_rp_mean_mag
5184463548512276736,44.58102931356725,-4.528307016605777,1.3237216467931927,11.244819368993543,1.3632244324248513,14.540624,4.6650863,14.871277,13.889796
5184469149149603072,44.44514111396579,-4.400329591154046,1.2175232750348004,1.3598671771590878,-8.86925362654324,16.615807,1.0226121,17.282785,15.829798
5184472172806566272,44.125884250846674,-4.494162757287036,0.5382112502495062,4.792326530313984,-4.150997661350312,17.54872,1.0285449,18.032557,16.86738
5184472241526062592,44.217160015595425,-4.5394260009487395,0.48613849160566486,10.849465531117485,-11.12355938630098,17.454456,0.9872008,18.135939,16.649565
5184476845730982528,44.1454069003588,-4.432310586065788,0.30789720271290105,9.162959569577012,-7.4108819606661545,17.286541,1.0345777,17.563753,16.867542
5184480552287657088,44.29862095660993,-4.381590416266215,4.553485621117766,-4.974481493502958,-41.68890694162921,10.097309,1.0973449,10.382012,9.654451
5184485985421401984,44.35024926606174,-4.278098047969871,1.3109730982009216,14.36621438353025,-5.502102157921302,15.627324,0.99312407,16.143711,14.954437
5184513267053705216,42.64265537747874,-4.998885237635404,1.2683606817837545,0.4419414759049306,0.07551913074385022,16.950466,0.9846863,17.78342,16.058516
5184515947113360128,42.882938329708715,-4.9723363535824525,0.5760784190690319,13.681806116509705,2.7962976399472295,17.112135,0.9925315,17.539711,16.53589
5184516393790178176,42.99359343509957,-4.9675240776359315,1.6599331179815275,12.860371316128877,7.316179192945569,17.9982,1.0351131,19.30856,16.88339
5184518421014495232,42.813091722135276,-4.990268445736818,0.8050081246050341,11.39178867282698,3.3078344982352013,13.798089,0.9954985,14.1537075,13.273993
5184521444671464704,42.916929465512865,-4.855694106175738,0.4611110420665361,0.9752126224664097,-7.759927317805534,17.631622,1.0405139,18.046577,17.041374
5184522372384399232,42.91404092638993,-4.832687974590969,1.06131949791519,19.05086150705994,5.598050105617591,16.580093,1.000997,17.152672,15.870625
5184524399608995200,43.20222306671295,-4.9759127614999095,3.4347674110199296,32.543827924440734,10.897830435793177,16.688847,0.9401296,17.75351,15.658764
5184529003813935360,43.18647739051524,-4.8943369670867005,0.9136603321926476,4.1696860199561385,2.068567691262936,14.101763,1.0377406,14.42405,13.6192465
5184533019607846528,43.34128602309459,-4.848837678022383,2.0140869705510496,16.29924080187847,-6.059698082450824,11.571102,0.93484324,11.811739,11.171928
5184538590180935808,43.411775780966124,-4.733518917369805,0.5315315791137203,4.2274116546297895,2.626874011430865,14.195915,1.0521517,14.686141,13.547783
5184541300304959104,43.089679850768604,-4.838370284356161,2.8758543023505942,6.433150793997024,-12.375802453384946,16.404892,1.0325509,17.485926,15.377519
5184541373319712512,43.124291961986216,-4.841535716678886,2.356150893916163,18.49762375361625,-1.4462113515144326,16.166016,1.0068266,17.155176,15.177776
5184542885148199296,43.14410339970774,-4.8118830362790685,4.561126170364019,-18.9296642783404,-4.928932535502185,15.458667,2.3016996,16.622139,14.364372
5184549516577698688,43.21022168428261,-4.734282382650038,0.9468256918505334,4.601177037819942,-5.097583283160482,16.243916,0.9619849,16.856592,15.487813
5184558965505735168,42.589329648544435,-4.9864256164060485,5.749123677439848,-18.490249434866534,-0.12726561327886024,7.1926694,1.0794711,7.2120404,7.1290956
5184566073676318464,42.4946800869297,-4.8435180512564395,0.5540409373521042,17.90792537547391,-5.543042542334601,17.95044,1.04958,18.449476,17.310581
5184567516785322496,42.76191126708006,-4.8575800668174605,0.46844364676917094,6.2520549083907095,-0.872672771537939,17.826351,1.0421103,18.457632,17.08048
5184569372211223552,42.80108337743273,-4.8083627881312925,0.5371336841398447,11.857284213116792,1.6718041658794736,17.511583,1.0430025,17.96986,16.90768
5184573499675055488,42.73099494324932,-4.75559363530224,0.39481921166318906,6.321038159356999,-3.2564395434186952,16.98668,0.9621459,17.338886,16.48336
5184574874064589696,42.67208988157029,-4.701441077244811,0.9045715013155522,-2.863307424498702,-3.584194004959548,16.64175,1.0591528,17.14426,15.995806
