source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class
4791496409119237888,68.50542384987372,-43.52504574931032,45.23260228143935,0.015493614,58.03457992730387,0.014756421,-76.79608208263049,0.02211525,1.0613979,0.099850275,25,8.414744,1.3436651,9.018925,7.6752596,1.2474912,-15.768595,0.136918,False,4470.8994,2919.435275160222,96.25824998710884,10.088063107163544,0.025878228,0.041333575,0.06721181,False,False,False,Bottom 50%,22.107947576793254,6.692001869523234,248.39152337228487,-42.70103800828757,Below Top 5% Threshold
3134548741299795968,112.80402916549222,0.5538267328660452,35.227127229791606,0.015410775,98.20814231185264,0.01941681,-21.75847595286228,0.016114797,1.0665535,0.09452118,17,10.473243,1.9216585,11.427905,9.506247,1.326702,26.371616,0.22637922,False,3656.7786,2285.876375535121,100.58961423594579,13.53621728750587,0.027982634,0.039224163,0.0672068,False,False,False,Bottom 50%,28.38721402051483,8.207629139675742,217.00525960958663,9.096448278601478,Below Top 5% Threshold
6722043698554970240,277.03772751668646,-42.72410032068128,27.00728822921384,0.025778312,-121.9415365780464,0.020017797,-288.7997709409092,0.016531926,1.1226257,0.039838817,14,13.693886,2.8294086,15.29665,12.467241,1.4684906,-47.785122,2.731105,False,,1047.6748043816283,313.4885102177377,55.0252533841728,0.050234985,0.016966015,0.067201,False,False,False,Bottom 50%,37.027042164059175,10.85129089683271,351.820586595048,-14.066747618214752,Below Top 5% Threshold
565557312104998784,15.146909132322095,79.57677349005287,27.701606964558177,0.021421794,348.334624987439,0.024301123,127.74602586657952,0.024259312,1.1017702,0.059485797,24,14.756547,3.0815878,16.56506,13.483472,1.4968038,-13.228363,5.7032704,False,3083.2207,1293.1506651945206,371.02029336660894,63.491283099419306,0.04209101,0.025095137,0.06718615,False,False,False,Bottom 50%,36.098988816042834,11.96907181564669,123.36390369158936,16.712701048693518,Below Top 5% Threshold
4524578206152547840,280.5550581503002,19.13209255538279,27.146308058188684,0.016126726,-2.8897133402512614,0.012064436,30.677449429037065,0.013854886,1.122399,0.04001202,18,13.157444,2.7260323,14.681093,11.955061,1.4522285,-34.382324,0.8140227,False,,1683.311811502316,30.81324953100456,5.380815862368414,0.05014726,0.01703835,0.06718561,False,False,False,Bottom 50%,36.8374217907083,10.325997865944212,49.1381586751153,10.559482685360152,Below Top 5% Threshold
4457183817021419776,242.51885826847692,11.775700142660884,20.18466323346192,0.023553453,61.25096133656331,0.020668924,-134.96672895381494,0.022123711,1.0915911,0.069306456,18,14.52388,2.8354454,16.136402,13.300957,1.4625496,6.3876324,2.6529846,False,,856.9725595145758,148.21504036077351,34.80905003231654,0.038059995,0.029102204,0.0671622,False,False,False,Bottom 50%,49.54256548319373,11.048987539583967,24.746524416111853,41.07519193052906,Below Top 5% Threshold
1446774890598042880,201.1834518607309,25.72597557128804,20.299617407453404,0.018303405,-0.751097366671047,0.01995268,-107.23328236797217,0.012880691,1.076926,0.083814666,19,10.403865,1.2987165,10.980394,9.681678,1.2450676,-27.21809,0.18800181,False,,1109.062322564219,107.23591280286409,25.042276283391576,0.03218586,0.034955006,0.06714086,False,False,False,Bottom 50%,49.2620121812163,6.941304263606062,24.1515739088318,82.41671567210732,Below Top 5% Threshold
6879662263797806976,303.0402691866871,-12.89402552155239,35.43288781401768,0.018555077,192.65678581548505,0.017108034,-194.04027251536465,0.012413468,1.076686,0.08402842,18,10.593347,1.8816061,11.522728,9.641122,1.3199347,27.459225,0.20675787,False,,1909.606099161914,273.437862189183,36.58251027620601,0.032089077,0.03504069,0.06712977,False,False,False,Bottom 50%,28.2223680228623,8.340379745942426,30.099999218783818,-23.643295959801154,Below Top 5% Threshold
2891437851286574720,95.50712169676356,-34.57253308077614,21.07240453265969,0.012645679,-143.44778190532526,0.012936849,-110.70127261005214,0.013195448,1.0500368,0.11146882,28,11.468517,1.8242588,12.364216,10.539957,1.307828,-5.3329067,0.4554538,True,,1666.3719842980504,181.19613100461842,40.7620697397009,0.021204514,0.04589727,0.067101784,False,False,False,Bottom 50%,47.455429134825145,8.087087474832918,242.16244647214037,-20.6420007884788,Below Top 5% Threshold
6490756033157643648,347.5912211049152,-59.7141912222277,38.65982078689426,0.019501248,102.5359477957434,0.016808046,-266.98534372354743,0.019655153,1.0613784,0.0995841,30,14.480061,3.1715097,16.36196,13.19045,1.5087084,14.900389,1.5390863,False,3047.6956,1982.427998675456,285.99789221872277,35.06908207359552,0.025870228,0.04122845,0.06709868,False,False,False,Bottom 50%,25.866648619824996,12.416360182316357,323.9398024287259,-53.09572535983665,Below Top 5% Threshold
5839442041074641536,200.6057284801124,-72.91017730891502,26.682129134789047,0.014155495,-570.744931345244,0.0153804,2.294267995478678,0.018121233,1.126427,0.03605861,27,14.017576,2.7782888,15.584829,12.8065405,1.4554055,-20.187515,1.7124,False,,1884.930846397015,570.7495425507781,101.40199345816103,0.051703073,0.015384347,0.06708742,False,False,False,Bottom 50%,37.47826850504845,11.14867840856822,305.23829401410234,-10.177329871737337,Below Top 5% Threshold
1012870940436984064,138.11727163586897,49.20569596652714,26.247039919660768,0.02190489,-49.41440766365425,0.019171879,-177.10523223384482,0.01670728,1.037217,0.12516208,21,7.454318,0.9622164,7.848002,6.8857856,1.2152559,,,False,5226.7983,1198.2274517583685,183.869646677623,33.2086416850749,0.015869634,0.051215105,0.06708474,False,False,False,Bottom 50%,38.09953438791145,4.549719658891768,169.68553525415874,42.911200766467076,Below Top 5% Threshold
