source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score,in_nss_orbit,in_nss_accel,in_any_nss,pct_bin,distance_pc,M_G,gal_l,gal_b,anomaly_class,NUV,NUV_G
5599698031766065280,115.32174220586369,-29.35871065980849,33.03458521973331,0.012452145,-155.3256190355566,0.010940909,73.66958469724392,0.012812982,1.0319765,0.072459124,25,10.0642,1.7271099,10.89774,9.17063,1.2951574,31.506283,0.175035,False,4050.3757,2652.923246206216,171.91060362363706,24.669208156817955,0.013669792,0.030380739,0.04405053,False,False,False,Bottom 50%,30.27130485666419,7.659044291015778,244.46072876803655,-3.219870588163424,Below Top 5% Threshold,,
5825574004019538048,237.14577835818807,-65.23456893962774,29.99367019681798,0.021943096,-298.13474980124874,0.008340882,-268.3148896463893,0.018075356,1.1693704,0.14220464,25,8.267511,1.0834947,8.718037,7.634542,1.2329655,-59.208504,0.1359391,False,4968.965,1366.8841488507717,401.0950124908152,63.392671233147446,0.067952104,0.057743922,0.12569603,False,False,False,50-90%,33.34036793223424,5.652659058824209,320.1324655465438,-8.462406830407463,Below Top 5% Threshold,,
1534403699588778240,188.89308113634152,41.73729349762504,28.33222528591489,0.01677838,-304.42641471827415,0.0128948735,149.38268209898507,0.014280732,1.1781746,0.12212851,24,11.01081,1.8355026,11.912179,10.076676,1.3112664,28.490501,0.22021198,False,,1688.615100410331,339.10268015648165,56.73772765743726,0.07120966,0.05004259,0.12125225,False,False,False,Bottom 50%,35.2954979677202,8.272213432333842,134.46129304000198,75.03387769027823,Below Top 5% Threshold,,
4137734865485308800,260.6786270878615,-14.961333757276634,32.687913639659484,0.014665606,-99.76190960598736,0.017989239,-222.43447109516245,0.011726787,0.9099174,0.061977345,18,10.269148,1.7679749,11.127252,9.359277,1.3021308,-84.839035,0.20071287,False,,2228.8825076531643,243.78173134920888,35.35373951205235,-0.040998023,0.026115268,-0.014882755,False,False,False,Bottom 50%,30.59234709879811,7.841084009494222,9.05102077897561,11.940048350294518,Below Top 5% Threshold,19.92300033569336,9.65385233569336
2993823141410981760,91.65131839530842,-15.132218755887235,25.64325574438716,0.01657973,-66.3971766946541,0.0146004455,12.1567866554834,0.017973157,0.96344995,0.0912978,20,8.652673,1.0181389,9.077243,8.059104,1.2176795,10.610252,0.41290444,False,,1546.6630077645225,67.50090765914231,12.478369787384484,-0.016170839,0.03794326,0.02177242,False,False,False,Bottom 50%,38.99660830777627,5.6975388183638245,221.7426017101509,-16.620168362472224,Below Top 5% Threshold,,
5343936233991963392,176.4649687826957,-55.3460411134152,23.99248821147893,0.011974058,-98.94057260423396,0.011828683,-5.27216274119923,0.012026201,0.9595162,0.061096184,27,9.8298435,1.452363,10.491899,9.0395355,1.2657727,13.199974,3.4624336,False,4264.209,2003.705676310578,99.08093967672784,19.576553209875925,-0.017947676,0.025754755,0.0078070797,False,False,False,Bottom 50%,41.67971204927222,6.730219950443345,293.6391519892693,6.338084202409085,Below Top 5% Threshold,,
5393078837456109952,163.01202739169025,-41.53105435884476,22.309353596407654,0.01351814,-42.56769769504916,0.007935665,56.87446775827478,0.01229962,1.0748358,0.077693194,24,9.256307,1.1051941,9.727031,8.621837,1.2251807,-2.0984223,0.13097863,False,,1650.3271943152097,71.04022782792951,15.095196163177594,0.031342115,0.032495152,0.06383727,False,False,False,Bottom 50%,44.82424807507754,5.998741934883956,280.1283105068126,15.99409272685483,Below Top 5% Threshold,,
2229760927740212480,337.2453022983694,71.68093282395884,20.32765442423881,0.011169919,161.58541573812684,0.0122427605,56.46262998149067,0.012207221,0.8617641,0.063835464,26,8.927215,0.883728,9.280894,8.397166,1.209451,7.25696,0.17599633,False,5423.229,1819.8569537429355,171.1662208605717,39.91647624801151,-0.064611614,0.026874479,-0.037737135,False,False,False,Bottom 50%,49.19406730997918,5.467651344892332,112.15302519318377,11.85678037331842,Below Top 5% Threshold,,
5068141437406414336,35.496742245423505,-29.35284765807822,24.04699298453524,0.018943675,28.62364867655198,0.01960877,-172.130648011971,0.019341093,0.87505305,0.088157125,20,7.7485085,0.80804396,8.064249,7.256205,1.204637,45.128567,0.12580022,False,5708.95,1269.3943049183008,174.4943358638891,34.39869445899776,-0.057965618,0.036691632,-0.021273986,False,False,False,Bottom 50%,41.58524105875133,4.653812383409633,224.6255097466455,-69.96511963685053,Below Top 5% Threshold,,
489354627951530624,65.93476894745366,65.99091090618106,22.015038315431365,0.016836682,-56.23340607422351,0.009548896,-56.65692156051525,0.015357855,1.151457,0.11880018,23,8.927608,1.0692511,9.373991,8.30474,1.2278117,15.760652,0.15745729,False,4992.3594,1307.5639177598032,79.82607794087654,17.188847108712032,0.061247706,0.04875252,0.11000022,False,False,False,Bottom 50%,45.4234957792035,5.641205228256835,142.31659798759324,11.477531471387993,Below Top 5% Threshold,,
