max,mean,p95,top5_mean
0.5207942104804634,0.47177394705897047,0.5189262287638045,0.5061457209158025
0.5359488501308441,0.4761850064236847,0.5168199363166253,0.5172477675247947
0.510252731182636,0.471020113922562,0.5018701545720506,0.4934340168246572
0.5005787033531012,0.4700340196949678,0.4997050312334343,0.49343822880088706
0.5288372111904109,0.4629283902117133,0.5234507893667841,0.5046116963759795
0.5099732175042795,0.47200519272885844,0.49436749213074,0.49621180018789346
0.5108511739230132,0.47086147018679825,0.5079017649253191,0.505177167509135
0.531679721410323,0.4758919862106146,0.5296133794428073,0.5156320204564245
0.5205002700015777,0.4647529467328675,0.4942382058984703,0.4971641307527813
0.4981932322190637,0.4667468319170397,0.4962024184432827,0.4939827651210818
0.5071686142852986,0.4719729925506753,0.5055684994815305,0.49838533515887234
0.5332504059448424,0.4734676206036748,0.5177807949079009,0.5145934365516462
0.5308329816494269,0.471886983143919,0.5210398303249681,0.5158874449721544
0.5157708927869467,0.4708310796033031,0.5133622551926887,0.5061730319414446
0.5990823161145635,0.4784684618318556,0.5168962934750664,0.529294357888877
0.6457647784637411,0.4798193741430597,0.5279506706568865,0.530339357822119
0.5126729745622297,0.4638002926840449,0.5070181194522044,0.5056045220115443
0.5916893040379577,0.4775395125758652,0.5149784117493694,0.5191721733202436
0.5992479668225303,0.47931416016432365,0.5251768373290694,0.5253619879634679
0.5259723270378424,0.47549935058656784,0.5175511043773854,0.5080139842396907
0.5143966820373881,0.47004473780597184,0.4960805712881347,0.49464178800082526
0.5188215354072434,0.4724482826898114,0.5113417857903698,0.5046375724699571
0.49872704548116964,0.4668933403057761,0.49577440688004554,0.4916754959660615
0.5151491826659478,0.46689371058650425,0.5083431569655933,0.5014486381497639
0.5370477104273128,0.47524574815777254,0.5328213619692065,0.5186818042466773
0.5970655071648674,0.47558912089998595,0.5090371902143106,0.5162118716196991
0.5207176392011338,0.4711723597964396,0.509439400405284,0.5075970980464863
0.4998468150511653,0.4702164349306375,0.49978636663510556,0.493767514493676
0.526912283700498,0.47426731237916864,0.5159684934634292,0.5109593940422569
0.5375724642081567,0.4734081748446506,0.5101661959318715,0.5051428787885991
0.5078002835841532,0.46592004551669597,0.5028261444896919,0.4981567957793728
0.508777637857705,0.46857103197557765,0.5000228691474209,0.49633084743659783
0.5153969256356281,0.4661964323537004,0.5107053233063868,0.5037487661119423
0.5153764433385394,0.4693894451188451,0.5102616734051466,0.4993412878609904
0.5175165741292035,0.468752937837868,0.5129372976543504,0.503877240019004
0.5143126978573778,0.47272269920899085,0.502520264332663,0.5023133614518321
0.5498116011520766,0.4762408750531317,0.5204896106103276,0.5114989765392688
0.5154515588424214,0.46719658258841884,0.5117230308721553,0.5034967473016525
